                                      Table 2

                      Allowance for Construction Phase Services

 Allowable                                           Allowance as a Percentage
Building Cost                                            of Building Cost

$ 100,000 or less                                           23.0000%
$ 200,000                                                   19.5000%
$ 300,000                                                   17.5000%
$ 400,000                                                   16.0000%
$ 500,000                                                   14.8000%
$ 600,000                                                   14.0000%
$ 700,000                                                   13.3000%
$ 800,000                                                   12.7000%
$ 900,000                                                   12.1000%
$ 1,000,000                                                 11.7000%
$ 1,250,000                                                 10.8000%
$ 1,500,000                                                 10.1000%
$ 1,750,000                                                  9.7000%
$ 2,000,000                                                  9.5000%
$ 2,500,000                                                  9.1000%
$ 3,000,000                                                  8.9000%
$ 3,500,000                                                  8.8000%
$ 4,000,000                                                  8.6000%
$ 5,000,000                                                  8.3000%
$ 6,000,000                                                  8.1000%
$ 7,000,000                                                  7.9000%
$ 8,000,000                                                  7.8000%
$ 9,000,000                                                  7.7000%
$10,000,000                                                  7.6000%
$20,000,000 or more                                          6.6000%




                                        241

