The Division of Law Enforcement and Safety	Division	B-ORG	5	13
The Division of Law Enforcement and Safety	of	I-ORG	14	16
The Division of Law Enforcement and Safety	Law	I-ORG	17	20
The Division of Law Enforcement and Safety	Enforcement	I-ORG	21	32
The Division of Law Enforcement and Safety	and	I-ORG	33	36
The Division of Law Enforcement and Safety	Safety	I-ORG	37	43
The Division of Law Enforcement and Safety	University	B-ORG	5	15
The Division of Law Enforcement and Safety	of	I-ORG	16	18
The Division of Law Enforcement and Safety	South	I-ORG	19	24
The Division of Law Enforcement and Safety	Carolina	I-ORG	25	33
The Division of Law Enforcement and Safety	Division	I-ORG	34	42
The Division of Law Enforcement and Safety	of	I-ORG	43	45
The Division of Law Enforcement and Safety	Law	I-ORG	46	49
The Division of Law Enforcement and Safety	Enforcement	I-ORG	50	61
The Division of Law Enforcement and Safety	and	I-ORG	62	65
The Division of Law Enforcement and Safety	Safety	I-ORG	66	72
The Division of Law Enforcement and Safety	DL	B-ORG	74	76
The Division of Law Enforcement and Safety	##ES	I-ORG	76	78
The Division of Law Enforcement and Safety	University	B-ORG	152	162
The Division of Law Enforcement and Safety	Columbia	B-LOC	165	173
The Division of Law Enforcement and Safety	Campus	I-LOC	174	180
The Division of Law Enforcement and Safety	DL	B-ORG	182	184
The Division of Law Enforcement and Safety	##ES	I-ORG	184	186
The Division of Law Enforcement and Safety	DL	B-ORG	343	345
The Division of Law Enforcement and Safety	##ES	I-ORG	345	347
The Division of Law Enforcement and Safety	University	B-ORG	407	417
The Division of Law Enforcement and Safety	of	I-ORG	418	420
The Division of Law Enforcement and Safety	South	I-ORG	421	426
The Division of Law Enforcement and Safety	Carolina	I-ORG	427	435
The Division of Law Enforcement and Safety	University	B-ORG	5	15
The Division of Law Enforcement and Safety	Columbia	B-LOC	18	26
The Division of Law Enforcement and Safety	Campus	I-LOC	27	33
The Division of Law Enforcement and Safety	USC	B-ORG	74	77
The Division of Law Enforcement and Safety	Columbia	I-ORG	78	86
The Division of Law Enforcement and Safety	DL	B-ORG	1	3
The Division of Law Enforcement and Safety	##ES	I-ORG	3	5
The Division of Law Enforcement and Safety	DL	B-ORG	78	80
The Division of Law Enforcement and Safety	##ES	I-ORG	80	82
The Division of Law Enforcement and Safety	Operations	B-ORG	5	15
The Division of Law Enforcement and Safety	Bureau	I-ORG	16	22
The Division of Law Enforcement and Safety	B	B-ORG	253	254
The Division of Law Enforcement and Safety	Patrol	I-ORG	258	264
The Division of Law Enforcement and Safety	Crime	B-ORG	274	279
The Division of Law Enforcement and Safety	Su	I-ORG	280	282
The Division of Law Enforcement and Safety	##pp	I-ORG	282	284
The Division of Law Enforcement and Safety	##ression	I-ORG	284	291
The Division of Law Enforcement and Safety	Unit	I-ORG	292	296
The Division of Law Enforcement and Safety	Support	B-ORG	5	12
The Division of Law Enforcement and Safety	Services	I-ORG	13	21
The Division of Law Enforcement and Safety	Bureau	I-ORG	22	28
The Division of Law Enforcement and Safety	Operations	I-ORG	67	77
The Division of Law Enforcement and Safety	and	I-ORG	78	81
The Division of Law Enforcement and Safety	Physical	I-ORG	82	90
The Division of Law Enforcement and Safety	Security	I-ORG	91	99
The Division of Law Enforcement and Safety	TO	B-ORG	101	103
The Division of Law Enforcement and Safety	##PS	I-ORG	103	105
