The Division of Law Enforcement and Safety	Division	B-ORG	4	12
The Division of Law Enforcement and Safety	of	I-ORG	13	15
The Division of Law Enforcement and Safety	Law	I-ORG	16	19
The Division of Law Enforcement and Safety	Enforcement	I-ORG	20	31
The Division of Law Enforcement and Safety	and	I-ORG	32	35
The Division of Law Enforcement and Safety	Safety	I-ORG	36	42
The Division of Law Enforcement and Safety	University	B-ORG	4	14
The Division of Law Enforcement and Safety	of	I-ORG	15	17
The Division of Law Enforcement and Safety	South	I-ORG	18	23
The Division of Law Enforcement and Safety	Carolina	I-ORG	24	32
The Division of Law Enforcement and Safety	Division	I-ORG	33	41
The Division of Law Enforcement and Safety	of	I-ORG	42	44
The Division of Law Enforcement and Safety	Law	I-ORG	45	48
The Division of Law Enforcement and Safety	Enforcement	I-ORG	49	60
The Division of Law Enforcement and Safety	and	I-ORG	61	64
The Division of Law Enforcement and Safety	Safety	I-ORG	65	71
The Division of Law Enforcement and Safety	DL	B-ORG	73	75
The Division of Law Enforcement and Safety	##ES	I-ORG	75	77
The Division of Law Enforcement and Safety	University	B-ORG	151	161
The Division of Law Enforcement and Safety	Columbia	B-LOC	164	172
The Division of Law Enforcement and Safety	Campus	I-LOC	173	179
The Division of Law Enforcement and Safety	DL	B-ORG	181	183
The Division of Law Enforcement and Safety	##ES	I-ORG	183	185
The Division of Law Enforcement and Safety	DL	B-ORG	342	344
The Division of Law Enforcement and Safety	##ES	I-ORG	344	346
The Division of Law Enforcement and Safety	University	B-ORG	406	416
The Division of Law Enforcement and Safety	of	I-ORG	417	419
The Division of Law Enforcement and Safety	South	I-ORG	420	425
The Division of Law Enforcement and Safety	Carolina	I-ORG	426	434
The Division of Law Enforcement and Safety	University	B-ORG	4	14
The Division of Law Enforcement and Safety	Columbia	B-LOC	17	25
The Division of Law Enforcement and Safety	Campus	I-LOC	26	32
The Division of Law Enforcement and Safety	USC	B-ORG	73	76
The Division of Law Enforcement and Safety	Columbia	I-ORG	77	85
The Division of Law Enforcement and Safety	DL	B-ORG	0	2
The Division of Law Enforcement and Safety	##ES	I-ORG	2	4
The Division of Law Enforcement and Safety	DL	B-ORG	77	79
The Division of Law Enforcement and Safety	##ES	I-ORG	79	81
The Division of Law Enforcement and Safety	Operations	B-ORG	4	14
The Division of Law Enforcement and Safety	Bureau	I-ORG	15	21
The Division of Law Enforcement and Safety	B	B-ORG	252	253
The Division of Law Enforcement and Safety	Patrol	I-ORG	257	263
The Division of Law Enforcement and Safety	Crime	B-ORG	273	278
The Division of Law Enforcement and Safety	Su	I-ORG	279	281
The Division of Law Enforcement and Safety	##pp	I-ORG	281	283
The Division of Law Enforcement and Safety	##ression	I-ORG	283	290
The Division of Law Enforcement and Safety	Unit	I-ORG	291	295
The Division of Law Enforcement and Safety	Support	B-ORG	4	11
The Division of Law Enforcement and Safety	Services	I-ORG	12	20
The Division of Law Enforcement and Safety	Bureau	I-ORG	21	27
The Division of Law Enforcement and Safety	Operations	I-ORG	66	76
The Division of Law Enforcement and Safety	and	I-ORG	77	80
The Division of Law Enforcement and Safety	Physical	I-ORG	81	89
The Division of Law Enforcement and Safety	Security	I-ORG	90	98
The Division of Law Enforcement and Safety	TO	B-ORG	100	102
The Division of Law Enforcement and Safety	##PS	I-ORG	102	104
The Division of Law Enforcement and Safety	Investigation	B-ORG	111	124
The Division of Law Enforcement and Safety	##s	I-ORG	124	125
The Division of Law Enforcement and Safety	Units	I-ORG	126	131
The Division of Law Enforcement and Safety	Communications	B-ORG	133	147
The Division of Law Enforcement and Safety	Unit	I-ORG	148	152
The Division of Law Enforcement and Safety	TO	B-ORG	258	260
The Division of Law Enforcement and Safety	##PS	I-ORG	260	262
The Division of Law Enforcement and Safety	Unit	I-ORG	263	267
The Division of Law Enforcement and Safety	USC	B-ORG	334	337
The Division of Law Enforcement and Safety	Administration	B-ORG	4	18
The Division of Law Enforcement and Safety	Bureau	I-ORG	19	25
The Division of Law Enforcement and Safety	DL	B-ORG	61	63
The Division of Law Enforcement and Safety	##ES	I-ORG	63	65
The Division of Law Enforcement and Safety	Bureau	B-ORG	131	137
The Division of Law Enforcement and Safety	Emergency	B-ORG	158	167
The Division of Law Enforcement and Safety	Management	I-ORG	168	178
The Division of Law Enforcement and Safety	Unit	I-ORG	179	183
The Division of Law Enforcement and Safety	Enforcement	B-ORG	0	11
The Division of Law Enforcement and Safety	Authority	I-ORG	12	21
The Division of Law Enforcement and Safety	and	I-ORG	22	25
The Division of Law Enforcement and Safety	Training	I-ORG	26	34
The Division of Law Enforcement and Safety	DL	B-ORG	32	34
The Division of Law Enforcement and Safety	##ES	I-ORG	34	36
The Division of Law Enforcement and Safety	South	B-LOC	107	112
The Division of Law Enforcement and Safety	Carolina	I-LOC	113	121
The Division of Law Enforcement and Safety	South	B-LOC	140	145
The Division of Law Enforcement and Safety	Carolina	I-LOC	146	154
The Division of Law Enforcement and Safety	South	B-LOC	202	207
The Division of Law Enforcement and Safety	Carolina	I-LOC	208	216
The Division of Law Enforcement and Safety	DL	B-ORG	293	295
The Division of Law Enforcement and Safety	##ES	I-ORG	295	297
The Division of Law Enforcement and Safety	South	B-ORG	372	377
The Division of Law Enforcement and Safety	Carolina	I-ORG	378	386
The Division of Law Enforcement and Safety	Criminal	I-ORG	387	395
The Division of Law Enforcement and Safety	Justice	I-ORG	396	403
The Division of Law Enforcement and Safety	Academy	I-ORG	404	411
The Division of Law Enforcement and Safety	Inter	B-MISC	0	5
The Division of Law Enforcement and Safety	##ncy	I-MISC	8	11
The Division of Law Enforcement and Safety	Cooperation	I-MISC	12	23
The Division of Law Enforcement and Safety	DL	B-ORG	0	2
The Division of Law Enforcement and Safety	##ES	I-ORG	2	4
The Division of Law Enforcement and Safety	South	B-LOC	64	69
The Division of Law Enforcement and Safety	Carolina	I-LOC	70	78
The Division of Law Enforcement and Safety	Carolina	B-LOC	121	129
The Division of Law Enforcement and Safety	Community	I-LOC	130	139
The Division of Law Enforcement and Safety	Columbia	B-LOC	279	287
The Division of Law Enforcement and Safety	University	B-ORG	313	323
The Division of Law Enforcement and Safety	of	I-ORG	324	326
The Division of Law Enforcement and Safety	South	I-ORG	327	332
The Division of Law Enforcement and Safety	Carolina	I-ORG	333	341
The Division of Law Enforcement and Safety	Columbia	B-LOC	344	352
The Division of Law Enforcement and Safety	Campus	I-LOC	353	359
The Division of Law Enforcement and Safety	City	B-ORG	431	435
The Division of Law Enforcement and Safety	of	I-ORG	436	438
The Division of Law Enforcement and Safety	Columbia	I-ORG	439	447
The Division of Law Enforcement and Safety	Police	I-ORG	448	454
The Division of Law Enforcement and Safety	Department	I-ORG	455	465
The Division of Law Enforcement and Safety	DL	B-ORG	0	2
The Division of Law Enforcement and Safety	##ES	I-ORG	2	4
The Division of Law Enforcement and Safety	Carolina	B-ORG	190	198
The Division of Law Enforcement and Safety	Community	I-ORG	199	208
The Division of Law Enforcement and Safety	DL	B-ORG	314	316
The Division of Law Enforcement and Safety	##ES	I-ORG	316	318
The Division of Law Enforcement and Safety	South	B-ORG	333	338
The Division of Law Enforcement and Safety	Carolina	I-ORG	339	347
The Division of Law Enforcement and Safety	Law	I-ORG	348	351
The Division of Law Enforcement and Safety	Enforcement	I-ORG	352	363
The Division of Law Enforcement and Safety	Division	I-ORG	364	372
The Division of Law Enforcement and Safety	SL	B-ORG	374	376
The Division of Law Enforcement and Safety	##ED	I-ORG	376	378
The Division of Law Enforcement and Safety	DL	B-ORG	381	383
The Division of Law Enforcement and Safety	##ES	I-ORG	383	385
The Division of Law Enforcement and Safety	DL	B-ORG	530	532
The Division of Law Enforcement and Safety	##ES	I-ORG	532	534
The Division of Law Enforcement and Safety	Office	B-ORG	635	641
The Division of Law Enforcement and Safety	of	I-ORG	642	644
The Division of Law Enforcement and Safety	Student	I-ORG	645	652
The Division of Law Enforcement and Safety	Con	I-ORG	653	656
The Division of Law Enforcement and Safety	##duct	I-ORG	656	660
The Division of Law Enforcement and Safety	and	I-ORG	661	664
The Division of Law Enforcement and Safety	Academic	I-ORG	665	673
The Division of Law Enforcement and Safety	In	I-ORG	674	676
The Division of Law Enforcement and Safety	##te	I-ORG	676	678
The Division of Law Enforcement and Safety	##g	I-ORG	678	679
The Division of Law Enforcement and Safety	##rity	I-ORG	679	683
The Division of Law Enforcement and Safety	DL	B-ORG	0	2
The Division of Law Enforcement and Safety	##ES	I-ORG	2	4
The Division of Law Enforcement and Safety	DL	B-ORG	204	206
The Division of Law Enforcement and Safety	##ES	I-ORG	206	208
The Division of Law Enforcement and Safety	City	B-ORG	235	239
The Division of Law Enforcement and Safety	of	I-ORG	240	242
The Division of Law Enforcement and Safety	Columbia	I-ORG	243	251
The Division of Law Enforcement and Safety	Police	I-ORG	252	258
The Division of Law Enforcement and Safety	Department	I-ORG	259	269
The Division of Law Enforcement and Safety	University	B-ORG	288	298
The Division of Law Enforcement and Safety	University	B-ORG	366	376
Reporting Criminal Incidents and Other Emergencies	Division	B-ORG	17	25
Reporting Criminal Incidents and Other Emergencies	of	I-ORG	26	28
Reporting Criminal Incidents and Other Emergencies	Law	I-ORG	29	32
Reporting Criminal Incidents and Other Emergencies	Enforcement	I-ORG	33	44
Reporting Criminal Incidents and Other Emergencies	and	I-ORG	45	48
Reporting Criminal Incidents and Other Emergencies	Safety	I-ORG	49	55
Reporting Criminal Incidents and Other Emergencies	DL	B-ORG	85	87
Reporting Criminal Incidents and Other Emergencies	##ES	I-ORG	87	89
Reporting Criminal Incidents and Other Emergencies	DL	B-ORG	26	28
Reporting Criminal Incidents and Other Emergencies	##ES	I-ORG	28	30
Reporting Criminal Incidents and Other Emergencies	Henderson	B-LOC	39	48
Reporting Criminal Incidents and Other Emergencies	Street	I-LOC	49	55
Reporting Criminal Incidents and Other Emergencies	Columbia	B-LOC	57	65
Reporting Criminal Incidents and Other Emergencies	South	B-LOC	67	72
Reporting Criminal Incidents and Other Emergencies	Carolina	I-LOC	73	81
Reporting Criminal Incidents and Other Emergencies	9	B-ORG	67	68
Reporting Criminal Incidents and Other Emergencies	University	B-ORG	4	14
Reporting Criminal Incidents and Other Emergencies	Ra	B-MISC	43	45
Reporting Criminal Incidents and Other Emergencies	##ve	I-MISC	45	47
