The Division of Law Enforcement and Safety	Division of Law Enforcement and Safety	ORG	4	12
The Division of Law Enforcement and Safety	University of South Carolina Division of Law Enforcement and Safety	ORG	4	14
The Division of Law Enforcement and Safety	DLES	ORG	73	75
The Division of Law Enforcement and Safety	University	ORG	151	161
The Division of Law Enforcement and Safety	Columbia Campus	LOC	164	172
The Division of Law Enforcement and Safety	DLES	ORG	181	183
The Division of Law Enforcement and Safety	DLES	ORG	342	344
The Division of Law Enforcement and Safety	University of South Carolina	ORG	406	416
The Division of Law Enforcement and Safety	University	ORG	4	14
The Division of Law Enforcement and Safety	Columbia Campus	LOC	17	25
The Division of Law Enforcement and Safety	USC Columbia	ORG	73	76
The Division of Law Enforcement and Safety	DLES	ORG	0	2
The Division of Law Enforcement and Safety	DLES	ORG	77	79
The Division of Law Enforcement and Safety	Operations Bureau	ORG	4	14
The Division of Law Enforcement and Safety	B    Patrol	ORG	252	253
The Division of Law Enforcement and Safety	Crime Suppression Unit	ORG	273	278
The Division of Law Enforcement and Safety	Support Services Bureau                                       Operations and Physical Security	ORG	4	11
The Division of Law Enforcement and Safety	TOPS	ORG	100	102
The Division of Law Enforcement and Safety	Investigations Units	ORG	111	124
The Division of Law Enforcement and Safety	Communications Unit	ORG	133	147
The Division of Law Enforcement and Safety	TOPS Unit	ORG	258	260
The Division of Law Enforcement and Safety	USC	ORG	334	337
The Division of Law Enforcement and Safety	Administration Bureau	ORG	4	18
The Division of Law Enforcement and Safety	DLES	ORG	61	63
The Division of Law Enforcement and Safety	Bureau	ORG	131	137
The Division of Law Enforcement and Safety	Emergency Management Unit	ORG	158	167
The Division of Law Enforcement and Safety	Enforcement Authority and Training	ORG	0	11
The Division of Law Enforcement and Safety	DLES	ORG	32	34
The Division of Law Enforcement and Safety	South Carolina	LOC	107	112
The Division of Law Enforcement and Safety	South Carolina	LOC	140	145
The Division of Law Enforcement and Safety	South Carolina	LOC	202	207
The Division of Law Enforcement and Safety	DLES	ORG	293	295
The Division of Law Enforcement and Safety	South Carolina Criminal Justice Academy	ORG	372	377
The Division of Law Enforcement and Safety	Inter   ncy Cooperation	MISC	0	5
The Division of Law Enforcement and Safety	DLES	ORG	0	2
The Division of Law Enforcement and Safety	South Carolina	LOC	64	69
The Division of Law Enforcement and Safety	Carolina Community	LOC	121	129
The Division of Law Enforcement and Safety	Columbia	LOC	279	287
The Division of Law Enforcement and Safety	University of South Carolina	ORG	313	323
The Division of Law Enforcement and Safety	Columbia Campus	LOC	344	352
The Division of Law Enforcement and Safety	City of Columbia Police Department	ORG	431	435
The Division of Law Enforcement and Safety	DLES	ORG	0	2
The Division of Law Enforcement and Safety	Carolina Community	ORG	190	198
The Division of Law Enforcement and Safety	DLES	ORG	314	316
The Division of Law Enforcement and Safety	South Carolina Law Enforcement Division	ORG	333	338
The Division of Law Enforcement and Safety	SLED	ORG	374	376
The Division of Law Enforcement and Safety	DLES	ORG	381	383
The Division of Law Enforcement and Safety	DLES	ORG	530	532
The Division of Law Enforcement and Safety	Office of Student Conduct and Academic Integrity	ORG	635	641
The Division of Law Enforcement and Safety	DLES	ORG	0	2
The Division of Law Enforcement and Safety	DLES	ORG	204	206
The Division of Law Enforcement and Safety	City of Columbia Police Department	ORG	235	239
The Division of Law Enforcement and Safety	University	ORG	288	298
The Division of Law Enforcement and Safety	University	ORG	366	376
Reporting Criminal Incidents and Other Emergencies	Division of Law Enforcement and Safety	ORG	17	25
Reporting Criminal Incidents and Other Emergencies	DLES	ORG	85	87
Reporting Criminal Incidents and Other Emergencies	DLES	ORG	26	28
Reporting Criminal Incidents and Other Emergencies	Henderson Street	LOC	39	48
Reporting Criminal Incidents and Other Emergencies	Columbia	LOC	57	65
Reporting Criminal Incidents and Other Emergencies	South Carolina	LOC	67	72
Reporting Criminal Incidents and Other Emergencies	9	ORG	67	68
Reporting Criminal Incidents and Other Emergencies	University	ORG	4	14
Reporting Criminal Incidents and Other Emergencies	Rave Guardian	MISC	43	45
Reporting Criminal Incidents and Other Emergencies	Rave Guardian	MISC	119	121
Reporting Criminal Incidents and Other Emergencies	University Police	ORG	226	236
Reporting Criminal Incidents and Other Emergencies	Ra   Guardian	MISC	81	83
Reporting Criminal Incidents and Other Emergencies	USC Police	ORG	46	49
Reporting Criminal Incidents and Other Emergencies	USC Police	ORG	101	104
Reporting Criminal Incidents and Other Emergencies	Ra   Guardian	ORG	113	115
Reporting Criminal Incidents and Other Emergencies	University	ORG	89	99
Reporting Criminal Incidents and Other Emergencies	C	MISC	130	131
Reporting Criminal Incidents and Other Emergencies	DLES	ORG	146	148
Reporting Criminal Incidents and Other Emergencies	CS	MISC	152	154
Reporting Criminal Incidents and Other Emergencies	CS	ORG	0	2
Reporting Criminal Incidents and Other Emergencies	University Community	ORG	52	62
Reporting Criminal Incidents and Other Emergencies	CSA	ORG	171	173
Reporting Criminal Incidents and Other Emergencies	CSA	ORG	270	272
Reporting Criminal Incidents and Other Emergencies	CS	ORG	445	447
Reporting Criminal Incidents and Other Emergencies	DLES	ORG	469	471
Reporting Criminal Incidents and Other Emergencies	DLES	ORG	10	12
Reporting Criminal Incidents and Other Emergencies	CS	ORG	24	26
Reporting Criminal Incidents and Other Emergencies	CS	ORG	32	34
Reporting Criminal Incidents and Other Emergencies	Civil Rights	MISC	37	42
Reporting Criminal Incidents and Other Emergencies	Title IX	MISC	54	59
Reporting Criminal Incidents and Other Emergencies	CS	MISC	71	73
Reporting Criminal Incidents and Other Emergencies	USC Columbia Campus	ORG	67	70
Reporting Criminal Incidents and Other Emergencies	DLES	ORG	225	227
Reporting Criminal Incidents and Other Emergencies	DLES	ORG	351	353
Reporting Criminal Incidents and Other Emergencies	Daily Crime Lo	MISC	0	5
Reporting Criminal Incidents and Other Emergencies	DLES	ORG	0	2
Reporting Criminal Incidents and Other Emergencies	DLES Records Unit	ORG	119	121
Reporting Criminal Incidents and Other Emergencies	Henderson Street	LOC	153	162
Reporting Criminal Incidents and Other Emergencies	Columbia	LOC	171	179
Reporting Criminal Incidents and Other Emergencies	South Carolina	LOC	181	186
Reporting Criminal Incidents and Other Emergencies	DLES	ORG	242	244
Reporting Criminal Incidents and Other Emergencies	DLES                     Violence	ORG	0	2
Sexual Assault, Domestic Violence, Dating Violence	University of South Carolina	ORG	78	88
Sexual Assault, Domestic Violence, Dating Violence	University	ORG	148	158
Sexual Assault, Domestic Violence, Dating Violence	University	ORG	229	239
Sexual Assault, Domestic Violence, Dating Violence	Carolina Community	ORG	287	295
Sexual Assault, Domestic Violence, Dating Violence	University of South Carolina	ORG	4	14
Sexual Assault, Domestic Violence, Dating Violence	University of South Carolina	ORG	4	14
Sexual Assault, Domestic Violence, Dating Violence	Sexual                   Violence	MISC	15	21
Sexual Assault, Domestic Violence, Dating Violence	University Policies    Sexual Assault     Interpersonal Violence	ORG	82	92
Sexual Assault, Domestic Violence, Dating Violence	South Carolina Code of Laws	MISC	240	245
Sexual Assault, Domestic Violence, Dating Violence	University Policy	ORG	332	342
Sexual Assault, Domestic Violence, Dating Violence	DLES	ORG	393	395
Sexual Assault, Domestic Violence, Dating Violence	UniversityP	ORG	497	507
Sexual Assault, Domestic Violence, Dating Violence	University Community	ORG	590	600
Sexual Assault, Domestic Violence, Dating Violence	South Carolina	LOC	32	37
Sexual Assault, Domestic Violence, Dating Violence	S C. Code Ann	MISC	58	59
Sexual Assault, Domestic Violence, Dating Violence	South Carolina	LOC	502	507
Sexual Assault, Domestic Violence, Dating Violence	South Carolina	LOC	805	810
Sexual Assault, Domestic Violence, Dating Violence	S C. Code Ann	MISC	825	826
Sexual Assault, Domestic Violence, Dating Violence	Non	MISC	0	3
Sexual Assault, Domestic Violence, Dating Violence	S C  Code Ann	MISC	637	638
Sexual Assault, Domestic Violence, Dating Violence	DLES                                       Box	ORG	139	141
Sexual Assault, Domestic Violence, Dating Violence	RAVE Guardian	MISC	268	270
Sexual Assault, Domestic Violence, Dating Violence	DLES	ORG	26	28
Sexual Assault, Domestic Violence, Dating Violence	DLES	ORG	105	107
Sexual Assault, Domestic Violence, Dating Violence	DLES	ORG	222	224
Sexual Assault, Domestic Violence, Dating Violence	South Carolina Law Enforcement Division	ORG	288	293
Sexual Assault, Domestic Violence, Dating Violence	SLED	ORG	329	331
Sexual Assault, Domestic Violence, Dating Violence	DLES	ORG	17	19
Sexual Assault, Domestic Violence, Dating Violence	SAVIP	ORG	164	166
Sexual Assault, Domestic Violence, Dating Violence	South Carolina	LOC	6	11
