The Division of Law Enforcement and Safety	The Division of Law Enforcement	LAW	1	32
The Division of Law Enforcement and Safety	Division	ORG	11	19
The Division of Law Enforcement and Safety	The University of South Carolina Division of Law Enforcement and Safety (DLES)	ORG	1	79
The Division of Law Enforcement and Safety	University	ORG	152	162
The Division of Law Enforcement and Safety	Columbia Campus	ORG	165	180
The Division of Law Enforcement and Safety	DLES	ORG	343	347
The Division of Law Enforcement and Safety	the University of South Carolina	ORG	403	435
The Division of Law Enforcement and Safety	The University’s Columbia Campus	ORG	1	33
The Division of Law Enforcement and Safety	more than 400 acres	QUANTITY	41	60
The Division of Law Enforcement and Safety	USC Columbia	ORG	74	86
The Division of Law Enforcement and Safety	13th	ORDINAL	122	126
The Division of Law Enforcement and Safety	DLES	ORG	1	5
The Division of Law Enforcement and Safety	over 100	CARDINAL	17	25
The Division of Law Enforcement and Safety	70	CARDINAL	52	54
The Division of Law Enforcement and Safety	DLES	ORG	78	82
The Division of Law Enforcement and Safety	three	CARDINAL	99	104
The Division of Law Enforcement and Safety	Operations, Support Services	ORG	114	142
The Division of Law Enforcement and Safety	Administration	ORG	148	162
The Division of Law Enforcement and Safety	The Operations Bureau	ORG	1	22
The Division of Law Enforcement and Safety	24 hours	TIME	190	198
The Division of Law Enforcement and Safety	365 days	DATE	206	214
The Division of Law Enforcement and Safety	Bike Patrol	ORG	253	264
The Division of Law Enforcement and Safety	Crime Suppression Unit	ORG	274	296
The Division of Law Enforcement and Safety	The Support Services Bureau	ORG	1	28
The Division of Law Enforcement and Safety	the Communications,Technical Operations and Physical Security	ORG	38	99
The Division of Law Enforcement and Safety	TOPS	ORG	101	105
The Division of Law Enforcement and Safety	Investigations Units	ORG	112	132
The Division of Law Enforcement and Safety	911	PRODUCT	180	183
The Division of Law Enforcement and Safety	The TOPS Unit	ORG	255	268
The Division of Law Enforcement and Safety	300	CARDINAL	295	298
The Division of Law Enforcement and Safety	USC	ORG	335	338
The Division of Law Enforcement and Safety	The Administration Bureau	ORG	1	26
The Division of Law Enforcement and Safety	DLES	ORG	62	66
The Division of Law Enforcement and Safety	Bureau	ORG	132	138
The Division of Law Enforcement and Safety	the Emergency Management Unit	ORG	155	184
The Division of Law Enforcement and Safety	Enforcement Authority	ORG	1	22
The Division of Law Enforcement and Safety	DLES	ORG	33	37
The Division of Law Enforcement and Safety	State Constables	ORG	72	88
The Division of Law Enforcement and Safety	South Carolina	GPE	108	122
The Division of Law Enforcement and Safety	South Carolina	GPE	141	155
The Division of Law Enforcement and Safety	South Carolina	GPE	203	217
The Division of Law Enforcement and Safety	State	ORG	234	239
The Division of Law Enforcement and Safety	State	ORG	287	292
The Division of Law Enforcement and Safety	DLES	ORG	294	298
The Division of Law Enforcement and Safety	twelve weeks	DATE	317	329
The Division of Law Enforcement and Safety	the South Carolina Criminal Justice Academy	ORG	369	412
The Division of Law Enforcement and Safety	at least 40 hours	TIME	427	444
The Division of Law Enforcement and Safety	DLES	ORG	1	5
The Division of Law Enforcement and Safety	South Carolina	GPE	65	79
The Division of Law Enforcement and Safety	the Carolina Community	ORG	118	140
The Division of Law Enforcement and Safety	Columbia	GPE	280	288
The Division of Law Enforcement and Safety	The University of South Carolina	ORG	310	342
The Division of Law Enforcement and Safety	Columbia Campus	ORG	345	360
