The Division of Law Enforcement and Safety	The Division of Law Enforcement	LAW	0	31
The Division of Law Enforcement and Safety	Division	ORG	10	18
The Division of Law Enforcement and Safety	The University of South Carolina Division of Law Enforcement and Safety (DLES)	ORG	0	78
The Division of Law Enforcement and Safety	University	ORG	151	161
The Division of Law Enforcement and Safety	Columbia Campus	ORG	164	179
The Division of Law Enforcement and Safety	DLES	ORG	342	346
The Division of Law Enforcement and Safety	the University of South Carolina	ORG	402	434
The Division of Law Enforcement and Safety	The University’s Columbia Campus	ORG	0	32
The Division of Law Enforcement and Safety	more than 400 acres	QUANTITY	40	59
The Division of Law Enforcement and Safety	USC Columbia	ORG	73	85
The Division of Law Enforcement and Safety	13th	ORDINAL	121	125
The Division of Law Enforcement and Safety	DLES	ORG	0	4
The Division of Law Enforcement and Safety	over 100	CARDINAL	16	24
The Division of Law Enforcement and Safety	70	CARDINAL	51	53
The Division of Law Enforcement and Safety	DLES	ORG	77	81
The Division of Law Enforcement and Safety	three	CARDINAL	98	103
The Division of Law Enforcement and Safety	Operations, Support Services	ORG	113	141
The Division of Law Enforcement and Safety	Administration	ORG	147	161
The Division of Law Enforcement and Safety	The Operations Bureau	ORG	0	21
The Division of Law Enforcement and Safety	24 hours	TIME	189	197
The Division of Law Enforcement and Safety	365 days	DATE	205	213
The Division of Law Enforcement and Safety	Bike Patrol	ORG	252	263
The Division of Law Enforcement and Safety	Crime Suppression Unit	ORG	273	295
The Division of Law Enforcement and Safety	The Support Services Bureau	ORG	0	27
The Division of Law Enforcement and Safety	the Communications,Technical Operations and Physical Security	ORG	37	98
The Division of Law Enforcement and Safety	TOPS	ORG	100	104
The Division of Law Enforcement and Safety	Investigations Units	ORG	111	131
The Division of Law Enforcement and Safety	911	PRODUCT	179	182
The Division of Law Enforcement and Safety	The TOPS Unit	ORG	254	267
The Division of Law Enforcement and Safety	300	CARDINAL	294	297
The Division of Law Enforcement and Safety	USC	ORG	334	337
The Division of Law Enforcement and Safety	The Administration Bureau	ORG	0	25
The Division of Law Enforcement and Safety	DLES	ORG	61	65
The Division of Law Enforcement and Safety	Bureau	ORG	131	137
The Division of Law Enforcement and Safety	the Emergency Management Unit	ORG	154	183
The Division of Law Enforcement and Safety	Enforcement Authority	ORG	0	21
The Division of Law Enforcement and Safety	DLES	ORG	32	36
The Division of Law Enforcement and Safety	State Constables	ORG	71	87
The Division of Law Enforcement and Safety	South Carolina	GPE	107	121
The Division of Law Enforcement and Safety	South Carolina	GPE	140	154
The Division of Law Enforcement and Safety	South Carolina	GPE	202	216
The Division of Law Enforcement and Safety	State	ORG	233	238
The Division of Law Enforcement and Safety	State	ORG	286	291
The Division of Law Enforcement and Safety	DLES	ORG	293	297
The Division of Law Enforcement and Safety	twelve weeks	DATE	316	328
The Division of Law Enforcement and Safety	the South Carolina Criminal Justice Academy	ORG	368	411
The Division of Law Enforcement and Safety	at least 40 hours	TIME	426	443
The Division of Law Enforcement and Safety	DLES	ORG	0	4
The Division of Law Enforcement and Safety	South Carolina	GPE	64	78
The Division of Law Enforcement and Safety	the Carolina Community	ORG	117	139
The Division of Law Enforcement and Safety	Columbia	GPE	279	287
The Division of Law Enforcement and Safety	The University of South Carolina	ORG	309	341
The Division of Law Enforcement and Safety	Columbia Campus	ORG	344	359
The Division of Law Enforcement and Safety	the City of Columbia Police Department	ORG	427	465
The Division of Law Enforcement and Safety	DLES	ORG	0	4
The Division of Law Enforcement and Safety	the Carolina Community	ORG	186	208
The Division of Law Enforcement and Safety	DLES	ORG	314	318
The Division of Law Enforcement and Safety	the South Carolina Law Enforcement Division	ORG	329	372
The Division of Law Enforcement and Safety	SLED	ORG	374	378
The Division of Law Enforcement and Safety	DLES	ORG	381	385
The Division of Law Enforcement and Safety	DLES	ORG	530	534
The Division of Law Enforcement and Safety	the Office of Student Conduct	ORG	631	660
The Division of Law Enforcement and Safety	Academic Integrity	ORG	665	683
The Division of Law Enforcement and Safety	DLES	ORG	0	4
The Division of Law Enforcement and Safety	Memorandums of Understanding (MOU	LAW	51	84
The Division of Law Enforcement and Safety	DLES	ORG	204	208
The Division of Law Enforcement and Safety	the City of Columbia Police Department	ORG	231	269
The Division of Law Enforcement and Safety	University	ORG	288	298
The Division of Law Enforcement and Safety	University	ORG	366	376
Reporting Criminal Incidents and Other Emergencies	the Division of Law Enforcement	ORG	13	44
Reporting Criminal Incidents and Other Emergencies	DLES	ORG	85	89
Reporting Criminal Incidents and Other Emergencies	911	CARDINAL	110	113
Reporting Criminal Incidents and Other Emergencies	803-777-4215	TIME	141	153
Reporting Criminal Incidents and Other Emergencies	DLES	ORG	26	30
Reporting Criminal Incidents and Other Emergencies	1415 Henderson Street	FAC	34	55
Reporting Criminal Incidents and Other Emergencies	Columbia	GPE	57	65
Reporting Criminal Incidents and Other Emergencies	South Carolina	GPE	67	81
Reporting Criminal Incidents and Other Emergencies	University	ORG	4	14
Reporting Criminal Incidents and Other Emergencies	Rave Guardian	ORG	43	56
Reporting Criminal Incidents and Other Emergencies	Rave Guardian	ORG	119	132
Reporting Criminal Incidents and Other Emergencies	University Police	ORG	226	243
