,The Division of Law Enforcement and Safety,Reporting Criminal Incidents and Other Emergencies,"Sexual Assault, Domestic Violence, Dating Violence",CONFIDENTIAL REPORTING OF CRIME AND OTHER SERIOUS,Crime Prevention,Monitoring and Recording Criminal Activity Includi,Missing Resident Students,Timely Warning Notices,Emergency Response,Alcohol And Drug Policies,Criminal statistics,Annual Fire Safety Report
0,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
1,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Neutral,Neutral,Neutral
2,Positive,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Neutral,Negative,Neutral,Neutral,Neutral
3,Neutral,Neutral,Neutral,Negative,Neutral,Neutral,Negative,Negative,Negative,Negative,Neutral,Negative
4,Negative,Neutral,Neutral,Negative,Positive,Negative,Neutral,Neutral,Neutral,Neutral,Negative,Negative
5,Neutral,Negative,Neutral,Neutral,Neutral,Neutral,Negative,Neutral,Neutral,Negative,Neutral,Positive
6,Neutral,Neutral,Neutral,Negative,Negative,Negative,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
7,Neutral,Neutral,Neutral,Negative,Neutral,Neutral,Negative,Neutral,Neutral,Negative,Neutral,Negative
8,Neutral,Neutral,Negative,Negative,Negative,Positive,Neutral,Negative,Negative,Neutral,Neutral,Negative
9,Neutral,Neutral,Neutral,,Negative,Negative,Negative,Neutral,Neutral,Negative,Negative,Neutral
10,Negative,Neutral,Negative,,Neutral,Negative,Negative,Negative,Neutral,Negative,Neutral,Negative
11,Neutral,Neutral,Negative,,Neutral,Negative,,Neutral,Negative,Negative,Neutral,Neutral
12,Negative,Neutral,Negative,,Neutral,Negative,,Negative,Neutral,Neutral,Neutral,Neutral
13,Neutral,Neutral,Negative,,Positive,Neutral,,Neutral,Negative,Negative,Neutral,Negative
14,,Neutral,Negative,,Positive,Neutral,,Neutral,Neutral,Neutral,Neutral,Negative
15,,Neutral,Neutral,,Positive,Neutral,,Neutral,Neutral,Neutral,Negative,Neutral
16,,Negative,Negative,,Negative,Negative,,Neutral,Neutral,Negative,Neutral,Negative
17,,Negative,Neutral,,Neutral,,,Neutral,Neutral,Negative,Neutral,Neutral
18,,Positive,Negative,,Neutral,,,Neutral,Neutral,Negative,Negative,Negative
19,,Neutral,Neutral,,Neutral,,,Negative,Neutral,Positive,Negative,Negative
20,,Negative,Negative,,Neutral,,,Neutral,Negative,Neutral,Negative,Negative
21,,Neutral,Negative,,Neutral,,,Neutral,Neutral,Negative,Negative,Negative
22,,Neutral,Negative,,Negative,,,Negative,Neutral,Neutral,Neutral,Negative
23,,Neutral,Negative,,Neutral,,,Neutral,Neutral,Negative,Negative,Neutral
24,,Neutral,Negative,,Neutral,,,Neutral,Neutral,,Neutral,Neutral
25,,Negative,Negative,,Neutral,,,Neutral,Neutral,,Neutral,Neutral
26,,Neutral,Neutral,,Positive,,,Neutral,Neutral,,Neutral,Neutral
27,,Neutral,Negative,,Neutral,,,Neutral,Negative,,Neutral,Neutral
28,,Neutral,Negative,,Neutral,,,Negative,Neutral,,Neutral,Neutral
29,,Neutral,Neutral,,Neutral,,,Negative,Neutral,,Neutral,Neutral
30,,Neutral,Neutral,,Neutral,,,Neutral,Neutral,,Neutral,Neutral
31,,Neutral,Neutral,,Neutral,,,Neutral,Neutral,,Neutral,Neutral
32,,Neutral,Positive,,Neutral,,,Neutral,Neutral,,Negative,Negative
33,,Neutral,Neutral,,,,,,Neutral,,Negative,Negative
34,,Neutral,Neutral,,,,,,Neutral,,Neutral,
35,,Neutral,Neutral,,,,,,Neutral,,Neutral,
36,,Negative,Neutral,,,,,,Neutral,,Negative,
37,,Neutral,Neutral,,,,,,Neutral,,Negative,
38,,Negative,Neutral,,,,,,Negative,,Neutral,
39,,Neutral,Neutral,,,,,,Neutral,,Neutral,
40,,,Neutral,,,,,,Neutral,,Neutral,
41,,,Neutral,,,,,,Neutral,,Neutral,
42,,,Positive,,,,,,Neutral,,Neutral,
43,,,Neutral,,,,,,Neutral,,Neutral,
44,,,Neutral,,,,,,Neutral,,Neutral,
45,,,Neutral,,,,,,Neutral,,Neutral,
46,,,Negative,,,,,,Neutral,,Neutral,
47,,,Negative,,,,,,Neutral,,Neutral,
48,,,Neutral,,,,,,Negative,,Neutral,
49,,,Neutral,,,,,,Neutral,,Neutral,
50,,,Negative,,,,,,Neutral,,Neutral,
51,,,Neutral,,,,,,Neutral,,Neutral,
52,,,Neutral,,,,,,Neutral,,Negative,
53,,,Negative,,,,,,Neutral,,Negative,
54,,,Negative,,,,,,Neutral,,Negative,
55,,,Negative,,,,,,Neutral,,Neutral,
56,,,Neutral,,,,,,,,Negative,
57,,,Neutral,,,,,,,,,
58,,,Neutral,,,,,,,,,
59,,,Negative,,,,,,,,,
60,,,Negative,,,,,,,,,
61,,,Neutral,,,,,,,,,
62,,,Negative,,,,,,,,,
63,,,Neutral,,,,,,,,,
64,,,Neutral,,,,,,,,,
65,,,Neutral,,,,,,,,,
66,,,Neutral,,,,,,,,,
67,,,Neutral,,,,,,,,,
68,,,Neutral,,,,,,,,,
69,,,Neutral,,,,,,,,,
70,,,Positive,,,,,,,,,
71,,,Neutral,,,,,,,,,
72,,,Neutral,,,,,,,,,
73,,,Negative,,,,,,,,,
74,,,Negative,,,,,,,,,
75,,,Neutral,,,,,,,,,
76,,,Negative,,,,,,,,,
77,,,Positive,,,,,,,,,
78,,,Neutral,,,,,,,,,
79,,,Neutral,,,,,,,,,
80,,,Neutral,,,,,,,,,
81,,,Negative,,,,,,,,,
82,,,Negative,,,,,,,,,
83,,,Neutral,,,,,,,,,
84,,,Neutral,,,,,,,,,
85,,,Neutral,,,,,,,,,
86,,,Negative,,,,,,,,,
87,,,Neutral,,,,,,,,,
88,,,Neutral,,,,,,,,,
89,,,Neutral,,,,,,,,,
90,,,Neutral,,,,,,,,,
91,,,Neutral,,,,,,,,,
92,,,Neutral,,,,,,,,,
93,,,Negative,,,,,,,,,
94,,,Neutral,,,,,,,,,
95,,,Negative,,,,,,,,,
96,,,Neutral,,,,,,,,,
