,The Division of Law Enforcement and Safety,Reporting Criminal Incidents and Other Emergencies,"Sexual Assault, Domestic Violence, Dating Violence",CONFIDENTIAL REPORTING OF CRIME AND OTHER SERIOUS,Crime Prevention,Monitoring and Recording Criminal Activity Includi,Missing Resident Students,Timely Warning Notices,Emergency Response,Alcohol And Drug Policies,Criminal statistics,Annual Fire Safety Report
0,Neutral,Neutral,Negative,Neutral,Neutral,Neutral,Negative,Negative,Neutral,Negative,Neutral,Neutral
1,Neutral,Neutral,Negative,Neutral,Neutral,Neutral,Negative,Neutral,Neutral,Neutral,Neutral,Neutral
2,Positive,Negative,Neutral,Neutral,Neutral,Neutral,Negative,Neutral,Negative,Neutral,Neutral,Neutral
3,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Negative,Neutral,Neutral,Neutral,Neutral
4,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Neutral,Neutral,Neutral,Neutral
5,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Negative,Neutral,Neutral,Neutral,Neutral
6,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
7,Neutral,Neutral,Negative,Neutral,Positive,Neutral,Neutral,Negative,Neutral,Neutral,Negative,Neutral
8,Neutral,Neutral,Neutral,Neutral,Negative,Neutral,Neutral,Negative,Neutral,Neutral,Neutral,Neutral
9,Neutral,Neutral,Negative,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
10,Neutral,Neutral,Neutral,,Neutral,Neutral,Neutral,Negative,Neutral,Neutral,Neutral,Neutral
11,Neutral,Neutral,Neutral,,Positive,Negative,,Neutral,Neutral,Neutral,Neutral,Neutral
12,Neutral,Neutral,Neutral,,Neutral,Neutral,,Neutral,Neutral,Neutral,Neutral,Neutral
13,Neutral,Neutral,Neutral,,Neutral,Neutral,,Neutral,Neutral,Neutral,Neutral,Neutral
14,,Neutral,Neutral,,Positive,Neutral,,Neutral,Neutral,Neutral,Neutral,Neutral
15,,Neutral,Neutral,,Positive,Neutral,,Negative,Neutral,Neutral,Neutral,Neutral
16,,Neutral,Neutral,,Neutral,Negative,,Negative,Neutral,Negative,Neutral,Neutral
17,,Neutral,Negative,,Neutral,,,Negative,Neutral,Negative,Neutral,Neutral
18,,Positive,Negative,,Neutral,,,Neutral,Neutral,Neutral,Negative,Negative
19,,Neutral,Negative,,Neutral,,,Neutral,Neutral,Neutral,Negative,Negative
20,,Neutral,Negative,,Neutral,,,Neutral,Neutral,Neutral,Negative,Negative
21,,Neutral,Negative,,Neutral,,,Neutral,Neutral,Neutral,Negative,Positive
22,,Neutral,Negative,,Neutral,,,Neutral,Neutral,Neutral,Negative,Neutral
23,,Neutral,Negative,,Neutral,,,Neutral,Neutral,Neutral,Negative,Neutral
24,,Neutral,Negative,,Neutral,,,Negative,Neutral,,Neutral,Neutral
25,,Neutral,Negative,,Neutral,,,Neutral,Neutral,,Negative,Neutral
26,,Neutral,Neutral,,Neutral,,,Neutral,Negative,,Negative,Neutral
27,,Neutral,Neutral,,Neutral,,,Neutral,Neutral,,Negative,Neutral
28,,Neutral,Neutral,,Neutral,,,Neutral,Neutral,,Neutral,Negative
29,,Neutral,Neutral,,Negative,,,Neutral,Neutral,,Neutral,Negative
